"cell","n_records","y","toc_median","mask","n_sites","y_sd","x_lon","y_lat"
138832,2,-0.165248582947828,0.675,"deep",1,NA,23.150000785089,86.149998538989
142421,2,-0.183771353907638,0.645,"deep",1,NA,22.0500007477845,86.0499985406849
144134,2,-0.167491087293764,0.67,"deep",1,NA,-166.650005651623,85.9499985423808
145802,1,-0.187086643357144,0.64,"deep",1,NA,0.15000000508698,85.9499985423808
146028,3,-0.21579446813644,0.62,"deep",2,NA,22.7500007715237,85.9499985423808
152623,1,-0.42021640338319,0.37,"deep",1,NA,-37.7500012802207,85.7499985457725
153373,1,-0.148741651280925,0.7,"deep",1,NA,37.2500012632641,85.7499985457725
153378,2,-0.120128316201137,0.75,"deep",1,NA,37.7500012802207,85.7499985457725
153509,1,-0.113509274827518,0.76,"deep",1,NA,50.8500017244827,85.7499985457725
158090,1,-0.2518119729938,0.55,"deep",1,NA,148.950005051361,85.6499985474684
160110,10,-0.438631546859992,0.39,"deep",1,NA,-9.05000030691383,85.5499985491643
160453,1,-0.267606240177031,0.53,"deep",1,NA,25.2500008563065,85.5499985491643
163681,1,-0.508638306165727,0.3,"deep",1,NA,-11.9500004052619,85.4499985508602
164245,27,-0.140055387693242,0.67,"deep",1,NA,44.4500015074386,85.4499985508602
167252,2,-0.361769097913378,0.425,"deep",2,NA,-14.85000050361,85.3499985525561
