"region","lon","lat","obs","pred","e2","DI","AOA","dist_km","depth","exp_C0","exp_C1","exp_C2","exp_C3","exp_C4","exp_C5"
1,-71.2500024163105,-20.349999654886,0.177749071980725,0.0343682359137764,0.0205580641512572,0.370372495077301,1,420.049663990359,7178.5068359375,0.498655381559375,0.396574429032306,0.402824380719826,0.402076197316892,0.350100366732212,0.351343167134054
1,-70.9500024061366,-20.349999654886,0.0355584403930429,0.297416823343186,0.0685698127212636,0.255822843672249,1,432.934576046282,3894.17358398438,0.366907789318654,0.379903281259555,0.356215869633531,0.40273814160321,0.328165242233128,0.316744889366136
1,-81.4500027622245,-20.8499996464065,-0.677780705266081,-0.336664558184157,0.116360225800017,0.147666808607712,1,398.476271384774,2510.82641601562,0.311160357379829,0.347995065815553,0.317024138009508,0.311331396716878,0.298454353636851,0.297879452544826
1,-81.4500027622245,-21.349999637927,-0.677780705266081,-0.361011554925742,0.10034269460734,0.245246536431955,1,441.630506453925,1347.52783203125,0.358287206822801,0.378584336282897,0.352213909717965,0.360355790004618,0.347845956102785,0.327054970064434
1,-87.2500029589206,-21.7499996311435,-0.387216143280264,-0.471486374899773,0.00710147193720577,0.143243929122586,1,955.174360151581,3923.59716796875,0.310024720236219,0.344913688328731,0.316478501715545,0.348740534686158,0.28738487104376,0.29964241112812
1,-71.2500024163105,-21.7499996311435,-0.278011597516037,-0.0388665944203976,0.0571903325056134,0.357034964746896,1,567.121661727967,7124.6044921875,0.482410905740834,0.393834832024552,0.397308982014793,0.385967021451545,0.345026650274185,0.348650143014919
1,-70.6500023959627,-22.8499996124887,0.4983105537896,0.437726748243534,0.00367039749444356,0.22867808572305,1,702.348151258543,1464.27783203125,0.346271932166584,0.376079572673432,0.3461418121172,0.422403092180619,0.33909592980078,0.323048285151121
1,-70.5500023925713,-22.8499996124887,0.698970004336019,0.438833184264649,0.0676711651568444,0.151656803435801,1,705.684390830358,926.243041992188,0.31222353862761,0.350525127205353,0.318652095232721,0.38264142005908,0.319308236095617,0.322541903291143
1,-70.45000238918,-22.8499996124887,0.682145076373832,0.382701246617398,0.0896666071792005,0.158541111628124,1,709.158988221613,248.347229003906,0.314157214032835,0.354394511067215,0.321019605859574,0.374273958992193,0.351725078313496,0.377611966752791
1,-71.6500024298758,-22.9499996107928,-0.355340261523449,-0.00607993734465758,0.121982774045474,0.228384431452888,1,687.957881818227,5561.673828125,0.346075281006751,0.376029150886478,0.346026815181809,0.33168317248634,0.310099778761986,0.311158043683475
