"station","lon","lat","depth_m","campaign","survey","set","ignorance","bio_DI_over_threshold","bio_models_inside_AOA"
"CAMPANHA01_SANSED05_Primavera_G_G04",-42.93,-23.31,100,1,"2019 (Survey 1)","train",0.542925781111176,0.844829315768213,11
"CAMPANHA02_SANSED09_Outono_G_G05",-42.73,-23.7,150,2,"2021 (Survey 2)","train",0.386432324365137,0.615578696404878,12
"CAMPANHA01_SANSED05_Primavera_G_G05",-42.73,-23.7,150,1,"2019 (Survey 1)","train",0.40486463112087,0.461712483906314,12
"CAMPANHA01_SANSED04_Inverno_G_G06",-42.68,-23.82,400,1,"2019 (Survey 1)","train",0.61101709823163,0.510335001393955,12
"CAMPANHA02_SANSED08_Verao_G_G06",-42.68,-23.82,400,2,"2021 (Survey 2)","test",0.54508504909372,0.715352815728995,12
"CAMPANHA01_SANSED04_Inverno_G_G07",-42.59,-23.98,700,1,"2019 (Survey 1)","test",0.510479996174189,0.392983771480751,12
"CAMPANHA02_SANSED08_Verao_G_G07",-42.59,-23.98,700,2,"2021 (Survey 2)","train",0.214522630919149,0.390818591718479,12
"CAMPANHA01_SANSED04_Inverno_G_G08",-42.54,-24.09,1000,1,"2019 (Survey 1)","train",0.448875060754694,0.565856486266341,12
"CAMPANHA02_SANSED08_Verao_G_G08",-42.54,-24.09,1000,2,"2021 (Survey 2)","train",0.761523637301366,0.45347362362238,12
"CAMPANHA01_SANSED04_Inverno_G_G09",-42.5,-24.23,1300,1,"2019 (Survey 1)","train",0.368079445249374,0.464317182896292,12
"CAMPANHA02_SANSED08_Verao_G_G09",-42.5,-24.23,1300,2,"2021 (Survey 2)","train",0.368945962392028,0.336849989201152,12
"CAMPANHA01_SANSED04_Inverno_G_G10",-42.32,-24.56,1900,1,"2019 (Survey 1)","train",0.383236277470511,0.349464980956809,12
"CAMPANHA02_SANSED08_Verao_G_G10",-42.32,-24.56,1900,2,"2021 (Survey 2)","train",0.271671697321354,0.441389534141901,12
"CAMPANHA02_SANSED08_Verao_G_G11",-41.96,-25.23,2400,2,"2021 (Survey 2)","train",1.17970358095044,0.535701676246037,12
"CAMPANHA02_SANSED09_Outono_H_H01",-42.27,-22.95,25,2,"2021 (Survey 2)","train",0.489961319047104,1.0604835917093,4
"CAMPANHA01_SANSED05_Primavera_H_H01",-42.27,-22.95,25,1,"2019 (Survey 1)","train",0.581110700882825,0.510758361934583,12
"CAMPANHA02_SANSED09_Outono_H_H02",-42.25,-22.98,50,2,"2021 (Survey 2)","train",1.14181375612562,0.816639504716149,11
"CAMPANHA01_SANSED05_Primavera_H_H02",-42.2533333333333,-22.98,50,1,"2019 (Survey 1)","train",0.669903772024331,0.502055360831218,12
"CAMPANHA02_SANSED09_Outono_H_H03",-42.23,-23.04,75,2,"2021 (Survey 2)","train",0.667436974240328,0.56372212460175,12
"CAMPANHA01_SANSED05_Primavera_H_H03",-42.23,-23.04,75,1,"2019 (Survey 1)","train",0.652373423786637,0.50535056776555,12
"CAMPANHA02_SANSED09_Outono_H_H04",-42.19,-23.1,100,2,"2021 (Survey 2)","train",0.820523714798373,1.0501345512747,3
"CAMPANHA01_SANSED05_Primavera_H_H04",-42.19,-23.1,100,1,"2019 (Survey 1)","train",0.45478356812727,0.894751107707853,9
"CAMPANHA02_SANSED09_Outono_H_H05",-41.97,-23.47,150,2,"2021 (Survey 2)","train",0.802487049717028,0.623014118245663,12
"CAMPANHA01_SANSED05_Primavera_H_H05",-41.97,-23.47,150,1,"2019 (Survey 1)","train",0.320208754657165,0.461712483906314,12
"CAMPANHA01_SANSED04_Inverno_H_H06",-41.79,-23.77,400,1,"2019 (Survey 1)","train",0.959993180893757,0.428463902683003,12
"CAMPANHA02_SANSED08_Verao_H_H06",-41.79,-23.77,400,2,"2021 (Survey 2)","train",0.932859562773143,0.872662062997658,10
"CAMPANHA01_SANSED04_Inverno_H_H07",-41.7466666666667,-23.85,700,1,"2019 (Survey 1)","test",0.523901727528792,0.486672784636375,12
"CAMPANHA02_SANSED08_Verao_H_H07",-41.74,-23.85,700,2,"2021 (Survey 2)","test",0.234406393334916,0.461116462108767,12
"CAMPANHA01_SANSED04_Inverno_H_H08",-41.73,-23.91,1000,1,"2019 (Survey 1)","train",0.555967862595369,0.444726304688676,12
"CAMPANHA02_SANSED08_Verao_H_H08",-41.73,-23.91,1000,2,"2021 (Survey 2)","train",0.220338351351366,0.433818387759261,12
"CAMPANHA01_SANSED04_Inverno_H_H09",-41.67,-23.98,1300,1,"2019 (Survey 1)","train",0.68252915614783,0.39358708147637,12
"CAMPANHA02_SANSED08_Verao_H_H09",-41.67,-23.98,1300,2,"2021 (Survey 2)","train",0.440748773121019,0.33654551474838,12
"CAMPANHA01_SANSED04_Inverno_H_H10",-41.53,-24.22,1900,1,"2019 (Survey 1)","test",0.487439256799436,3.84407951302514,1
"CAMPANHA02_SANSED08_Verao_H_H10",-41.52,-24.22,1900,2,"2021 (Survey 2)","test",0.293653563799414,0.419705269748493,12
"CAMPANHA01_SANSED04_Inverno_H_H11",-41.35,-24.52,2400,1,"2019 (Survey 1)","train",0.365452930641753,0.448044705718628,12
"CAMPANHA02_SANSED08_Verao_H_H11",-41.35,-24.52,2400,2,"2021 (Survey 2)","train",0.490207394397808,0.504197016926814,12
