"station","lon","lat","depth_m","campaign","survey","set","ignorance","bio_DI_over_threshold","bio_models_inside_AOA"
"CAMPANHA02_SANSED09_Outono_D_D04",-45.6,-25.06,100,2,"2021 (Survey 2)","train",0.431177196952305,0.66381755497685,12
"CAMPANHA01_SANSED06_Primavera_D_D04",-45.6,-25.06,100,1,"2019 (Survey 1)","test",0.304365351292463,0.765892483364499,12
"CAMPANHA02_SANSED09_Outono_D_D05",-45.16,-25.57,150,2,"2021 (Survey 2)","train",0.930589337816491,0.811959048744059,10
"CAMPANHA01_SANSED05_Primavera_D_D05",-45.16,-25.57,150,1,"2019 (Survey 1)","test",0.603461733429426,0.742219956048116,12
"CAMPANHA01_SANSED02_Inverno_D_D06",-45.11,-25.63,400,1,"2019 (Survey 1)","test",0.352376609295664,0.467621952416239,12
"CAMPANHA02_SANSED07_Verao_D_D06",-45.11,-25.63,400,2,"2021 (Survey 2)","train",0.686845958448307,0.452763934772649,12
"CAMPANHA01_SANSED02_Inverno_D_D07",-45.08,-25.67,700,1,"2019 (Survey 1)","train",0.461456018272561,0.495158281855805,12
"CAMPANHA02_SANSED07_Verao_D_D07",-45.08,-25.67,700,2,"2021 (Survey 2)","test",0.351830944434383,0.453766900034451,12
"CAMPANHA01_SANSED01_Inverno_D_D08",-45.06,-25.69,1000,1,"2019 (Survey 1)","test",0.261270863824302,0.527675767212231,12
"CAMPANHA02_SANSED07_Verao_D_D08",-45.06,-25.69,1000,2,"2021 (Survey 2)","train",0.360873818879577,0.455877846405196,12
"CAMPANHA01_SANSED02_Inverno_D_D09",-45.02,-25.73,1300,1,"2019 (Survey 1)","test",0.18904678297959,0.321243985570527,12
"CAMPANHA02_SANSED07_Verao_D_D09",-45.02,-25.73,1300,2,"2021 (Survey 2)","train",0.20789333742046,0.446697243998996,12
"CAMPANHA01_SANSED02_Inverno_D_D10",-44.83,-25.95,1900,1,"2019 (Survey 1)","train",0.300308312321612,0.311956704070021,12
"CAMPANHA02_SANSED07_Verao_D_D10",-44.83,-25.95,1900,2,"2021 (Survey 2)","train",0.43670325463698,0.397912781010646,12
"CAMPANHA01_SANSED02_Inverno_D_D11",-44.4333333333333,-26.42,2400,1,"2019 (Survey 1)","train",0.265898062523156,0.491569278433326,12
"CAMPANHA02_SANSED07_Verao_D_D11",-44.43,-26.42,2400,2,"2021 (Survey 2)","train",0.315771592216356,0.412928896221596,12
"CAMPANHA02_SANSED09_Outono_E_E01",-45.12,-23.61,25,2,"2021 (Survey 2)","train",0.411203561981181,0.70157046516911,12
"CAMPANHA01_SANSED05_Primavera_E_E01",-45.12,-23.61,25,1,"2019 (Survey 1)","train",0.39083764627303,0.662216215883728,12
"CAMPANHA02_SANSED09_Outono_E_E02",-45,-23.85,50,2,"2021 (Survey 2)","test",0.648099799840426,0.880150843668733,12
"CAMPANHA01_SANSED05_Primavera_E_E02",-45,-23.85,50,1,"2019 (Survey 1)","train",0.821872156427364,0.85423019881014,12
"CAMPANHA02_SANSED09_Outono_E_E03",-44.92,-24,75,2,"2021 (Survey 2)","test",0.396783749368701,0.771037873631867,12
"CAMPANHA01_SANSED05_Primavera_E_E03",-44.92,-24,75,1,"2019 (Survey 1)","train",0.546883647422857,0.675618539684043,12
"CAMPANHA02_SANSED09_Outono_E_E04",-44.81,-24.21,100,2,"2021 (Survey 2)","test",0.339923110105608,0.74069570167641,12
"CAMPANHA01_SANSED05_Primavera_E_E04",-44.81,-24.21,100,1,"2019 (Survey 1)","train",0.299740153184296,0.616704877083815,12
