"n_sites","greedy","random_mean","random_min","random_max"
0,18.6902690070111,18.6902690070111,18.6902690070111,18.6902690070111
1,17.5287156282631,16.35169807568,12.1306747551091,18.6852966038486
2,16.0608622147084,13.2110785142459,8.43617920540997,17.5108149768783
3,9.84734722291283,10.891551887027,6.51384814280742,15.7157774352344
4,6.92456864402566,8.55556660534036,4.7516284620357,12.8606235393566
5,2.98940878126398,7.0627517279101,3.7491919844861,10.2799462980458
6,2.45835612351449,5.72462831286361,2.9973646263239,9.37596340311272
7,1.85868430212322,4.75172791009895,2.16200089503257,7.9906518820546
8,0.571826363681567,4.42782556809706,2.10929342151062,7.59285962905872
9,0.226741584207648,4.03197255233454,1.71448461041221,7.59285962905872
10,0.144199691711004,3.6748545572075,1.55934563174382,7.59285962905872
11,0.043757147829546,3.4021182437472,1.48774302620456,7.34225050967132
12,0.040773705932077,2.96956889264582,1.48575406493959,7.09860275471135
13,0.0278454577097111,2.44015712793993,1.21127741037243,6.02655263288747
14,0.0228730545472627,2.21908408333748,0.801551389786684,5.98180100442544
15,0.0228730545472627,2.09134304609418,0.598677340758789,5.98180100442544
16,0.0159116901198349,1.86843021232161,0.325195166824126,5.75008701705534
17,0.0119337675898762,1.46114066928547,0.322211724926657,2.85217045398041
18,0.0119337675898762,1.31385808761374,0.153150017403411,2.8143801899458
19,0.0109392869573865,1.19561434041072,0.153150017403411,2.3996817661976
20,0.00596688379493809,1.16329371985481,0.153150017403411,2.39769280493262
