"rank","lon","lat","depth_m","toc_predicted_pct","DInorm_initial","DInorm_at_selection","gain","expected_RMSE_calibrated","distance_nearest_observation_km","inside_AOA","region","path","decision","collection","flag_region_needs_new_drivers","flag_outside_region_support"
40,-99.75,-20.65,3997,0.191,0.289,0.289,NA,0.36,252,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
41,-111.55,-23.25,3455,0.125,0.357,0.357,NA,0.397,83,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,FALSE
42,-120.95,-25.55,3105,0.238,0.16,0.16,NA,0.296,141,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,FALSE
43,-137.85,-21.85,3774,0.233,0.33,0.33,NA,0.359,511,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,FALSE
44,-104.25,-19.55,4116,0.084,0.111,0.111,NA,0.361,237,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,FALSE
45,-135.05,-26.65,4371,0.156,0.371,0.371,NA,0.409,1115,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,TRUE
46,-141.35,-22.15,3967,0.221,0.259,0.259,NA,0.343,492,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,FALSE
47,63.65,-34.05,4612,0.268,0.213,0.213,NA,0.309,296,TRUE,"3 Arabian Sea","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
48,12.15,55.15,2,1.804,0.497,0.497,NA,0.329,51,TRUE,"2 NE Atlantic","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
49,24.35,57.95,7,2.22,0.506,0.506,NA,0.344,52,TRUE,"2 NE Atlantic","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
50,59.95,-34.05,4558,0.232,0.201,0.201,NA,0.322,635,TRUE,"3 Arabian Sea","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
