"cell","x_lon","y_lat","n_records","n_sites","y","toc_median","y_sd","mask","sbt_mean","sbt_min","sbt_max","sbs_mean","o2b_mean","sst_mean","sss_mean","chl_mean","phyc_bot","sws_bot","depth","slope","tri","tpi","dist_coast_km","poc_surf","poc_flux","river_poc","river_tss","sed_thick","gs_d50","gs_d16","porosity","litho_gs","litho_t1","litho_t2","litho_t3","litho_t4","litho_t5","litho_t6","block","fold","region"
1391,-40.9500013887427,89.9499984745451,1,1,0.0374264979406237,1.08,NA,"deep",-0.706522703170776,-0.720307111740112,-0.691081881523132,34.9362678527832,301.305053710938,-1.71473574638367,31.5217170715332,-0.865273535251617,-1.58399343490601,-2.84640288352966,4189,-2.42695307731628,1.32791709899902,12.3044815063477,2.85380077362061,2.83942437171936,1.44765377044678,-6,-5,3.27235674858093,-0.671880722045898,-1.04295897483826,73.0429992675781,-1.30103003978729,0,0,0,0,0,0,"-3 8",4,"5 Siberian Arctic"
2119,31.8500010801332,89.9499984745451,1,1,-0.0555173278498314,0.87,NA,"deep",-0.705967903137207,-0.719271779060364,-0.691513657569885,34.9361839294434,301.458221435547,-1.7153240442276,31.544189453125,-0.866100966930389,-1.58399331569672,-3.05517721176147,4204.3330078125,-2.42695307731628,1.24648451805115,17.5413398742676,2.85702013969421,2.83493709564209,1.44180488586426,-6,-5,3.2729160785675,-0.671342492103577,-1.04034829139709,73.0429992675781,-1.30103003978729,0,0,0,0,0,0,"1 8",2,"5 Siberian Arctic"
36431,-136.950004644403,88.949998491504,2,1,0.110589710299249,1.28,NA,"deep",-0.409670561552048,-0.477894991636276,-0.454252660274506,34.9183731079102,294.271606445312,-1.68396747112274,31.0238990783691,-0.865690886974335,-1.58385908603668,-2.58401298522949,2425.63208007812,-2.42695307731628,2.51290535926819,-24.9835548400879,2.85630559921265,2.88206887245178,1.69388902187347,-6,-5,2.9505672454834,-1.02539670467377,-1.09368026256561,71.4786758422852,-1.30103003978729,0,0,0,0,0,0,"-8 8",1,"5 Siberian Arctic"
37891,9.05000030691383,88.949998491504,1,1,-0.130768280269024,0.73,NA,"deep",-0.720154881477356,-0.750298142433167,-0.704175412654877,34.9342422485352,301.796661376953,-1.73010754585266,31.791675567627,-0.873957872390747,-1.58399248123169,-2.78908109664917,4279.6669921875,-2.42695307731628,0.532164573669434,0.124969482421875,2.80181837081909,2.09051275253296,0.690762877464294,-6,-5,3.30102920532227,-1.01950597763062,-1.08677887916565,72.9150009155273,-1.30103003978729,0,0,0,0,0,0,"0 8",3,"5 Siberian Arctic"
39517,171.650005821189,88.949998491504,1,1,-0.1249387366083,0.74,NA,"deep",-0.455333530902863,-0.611450672149658,-0.469460964202881,34.9206619262695,294.546417236328,-1.67458748817444,31.1109008789062,-0.840342342853546,-1.58345532417297,-2.02189874649048,2681.54858398438,-2.42695307731628,1.64557230472565,-41.6189041137695,2.91354012489319,2.65155100822449,1.42599618434906,-6,-5,3.20938110351562,-1.02836549282074,-1.09661793708801,71.9339981079102,-1.30103003978729,0,0,0,0,0,0,"9 8",4,"5 Siberian Arctic"
39969,-143.150004854665,88.8499984931999,2,1,-0.130768280269024,0.73,NA,"deep",-0.427871435880661,-0.499405950307846,-0.494115173816681,34.9212646484375,292.962005615234,-1.68025875091553,30.9894237518311,-0.860545814037323,-1.58387804031372,-2.85944414138794,3753.02783203125,-2.42695307731628,2.46363258361816,-181.795120239258,2.86175131797791,2.91623210906982,1.5654125213623,-6,-5,3.16569566726685,-1.02505445480347,-1.09315598011017,71.6709976196289,-1.30103003978729,0,0,0,0,0,0,"-9 8",3,"5 Siberian Arctic"
39999,-140.150004752925,88.8499984931999,2,1,0.0681858617461616,1.16,NA,"deep",-0.435110449790955,-0.497689694166183,-0.491996318101883,34.9220542907715,296.239440917969,-1.68141341209412,30.9912967681885,-0.86196506023407,-1.58390378952026,-2.80359125137329,3679.20141601562,-2.42695307731628,2.4885458946228,-131.858520507812,2.85789251327515,2.91621041297913,1.572793841362,-6,-5,3.19114542007446,-1.025630235672,-1.09380197525024,71.6709976196289,-1.30103003978729,0,0,0,0,0,0,"-8 8",1,"5 Siberian Arctic"
46270,126.950004305272,88.7499984948958,77,1,-0.265593224205457,0.56,NA,"deep",-0.693953573703766,-0.712959885597229,-0.680229663848877,34.9366073608398,301.314849853516,-1.68491864204407,31.399959564209,-0.85357391834259,-1.58399331569672,-2.4257550239563,3825.97924804688,-2.42695307731628,2.01166820526123,14.1614532470703,2.93036842346191,2.85972237586975,1.50172936916351,-6,-5,3.45613551139832,-1.02395594120026,-1.09300827980042,72.0615005493164,-1.30103003978729,0,0,0,0,0,0,"7 8",5,"5 Siberian Arctic"
46446,144.550004902143,88.7499984948958,1,1,-0.42021640338319,0.37,NA,"deep",-0.125821024179459,-0.167258560657501,-0.0928903073072433,34.8882827758789,300.924774169922,-1.67846083641052,31.2348155975342,-0.846109211444855,-1.57749664783478,-2.01804566383362,1343.08325195312,-2.42695307731628,2.52310371398926,97.6145935058594,2.93598937988281,2.87079501152039,1.90288281440735,-6,-5,3.25680613517761,-1.02472567558289,-1.09378290176392,71.9954986572266,-1.30103003978729,0,0,0,0,0,0,"8 8",5,"5 Siberian Arctic"
47986,-61.4500020839619,88.6499984965917,2,2,-0.319703293217376,0.485,NA,"deep",-0.441143363714218,-0.324947237968445,-0.269180834293365,34.9175109863281,298.308044433594,-1.70936787128448,31.4053230285645,-0.880020976066589,-1.5839079618454,-2.82077646255493,1526.22912597656,-2.42695307731628,2.43324613571167,198.821182250977,2.77018547058105,2.15816259384155,1.1426168680191,-6,-5,2.9606921672821,-0.885359764099121,-1.81460154056549,71.5650024414062,-1.30103003978729,0,0,0,0,0,0,"-4 8",3,"5 Siberian Arctic"
